iter	Logloss
0	0.6697110596
1	0.6429384155
2	0.6220565186
3	0.6000043945
4	0.5823548584
5	0.5649227295
6	0.545616333
7	0.5285532227
8	0.5133034668
9	0.4962614136
10	0.4821224976
11	0.4688112793
12	0.4564101562
13	0.444707489
14	0.433645752
15	0.4227940063
16	0.4143009644
17	0.4062209473
18	0.3981904297
19	0.3914050903
20	0.3841259766
21	0.3768928528
22	0.3695620117
23	0.3639398499
24	0.3582927856
25	0.3526690674
26	0.3461500854
27	0.3407492981
28	0.3365083008
29	0.3317981873
30	0.327489624
31	0.3234433594
32	0.3198443909
33	0.3168710022
34	0.3135112915
35	0.3104811707
36	0.3076486206
37	0.3042150879
38	0.3014760742
39	0.2981976929
40	0.2955341797
41	0.2930608521
42	0.2904498596
43	0.2878292847
44	0.2856919556
45	0.2832241516
46	0.2814334717
47	0.279151123
48	0.2773215942
49	0.2756691895
50	0.2740501099
51	0.2721033325
52	0.2703511353
53	0.2685258179
54	0.2674147339
55	0.2659379272
56	0.2647403564
57	0.2633796997
58	0.2623615723
59	0.261323761
60	0.2600859985
61	0.2591203003
62	0.2581168823
63	0.2568959351
64	0.2561402588
65	0.2552135162
66	0.2540054932
67	0.2528619537
68	0.2519958496
69	0.251318985
70	0.2503869934
71	0.2498629303
72	0.2489076385
73	0.248340271
74	0.2475335693
75	0.2465185394
76	0.2457478027
77	0.2449846191
78	0.2443036346
79	0.2437830505
80	0.2429506683
81	0.24220755
82	0.2415560455
83	0.2410330811
84	0.2405133057
85	0.2399559326
86	0.2394647675
87	0.2389997864
88	0.2384101715
89	0.2376272736
90	0.2370213165
91	0.236641922
92	0.2361768036
93	0.2357402039
94	0.2353523865
95	0.2348196411
96	0.2344606781
97	0.233744751
98	0.2333648987
99	0.2330305328
100	0.2325648499
101	0.232115509
102	0.231652771
103	0.2312271576
104	0.2308979187
105	0.2306577148
106	0.2301536713
107	0.229816864
108	0.2293914185
109	0.22908461
110	0.2288298492
111	0.2284131775
112	0.2281543427
113	0.2278034973
114	0.227459137
115	0.227029541
116	0.2265864258
117	0.22622052
118	0.225988205
119	0.2256586456
120	0.2254400635
121	0.2251251526
122	0.2247341766
123	0.2245326233
124	0.2241482544
125	0.2237692871
126	0.2234237061
127	0.2232774963
128	0.2230986481
129	0.2228089294
130	0.2224533691
131	0.2222952271
132	0.2220351257
133	0.2217563477
134	0.2215014343
135	0.2213120117
136	0.2210923462
137	0.2208936005
138	0.2205873871
139	0.2203534546
140	0.2200782928
141	0.2198582764
142	0.219734726
143	0.2195487976
144	0.2193336792
145	0.2192072449
146	0.2190102081
147	0.2188545074
148	0.2185565948
149	0.2183553925
150	0.2181992188
151	0.2180814209
152	0.2178519897
153	0.2175359344
154	0.2174166412
155	0.217256134
156	0.2170221863
157	0.2169350586
158	0.2167040405
159	0.2164539032
160	0.2163083191
161	0.2161794434
162	0.2160125427
163	0.2157850952
164	0.2154916077
165	0.2153206329
166	0.2151552887
167	0.2149861755
168	0.2147452393
169	0.2145698853
170	0.2144023438
171	0.2142164612
172	0.213914505
173	0.2136964722
174	0.2136952515
175	0.213580658
176	0.2134402771
177	0.2133071899
178	0.2131395264
179	0.2129865417
180	0.2128296356
181	0.2127120972
182	0.2124972839
183	0.2122616425
184	0.2121348572
185	0.2120192566
186	0.2118688965
187	0.2115797424
188	0.2113978729
189	0.2111301117
190	0.2109111328
191	0.2107238159
192	0.2105959473
193	0.210465332
194	0.2103889465
195	0.2102668152
196	0.2100721436
197	0.209723999
198	0.2095191345
199	0.2094295044
200	0.2093006287
201	0.2092384644
202	0.2090399017
203	0.2089575043
204	0.2088563843
205	0.2087819824
206	0.2086263885
207	0.2084655457
208	0.2082731781
209	0.2081213989
210	0.2079926453
211	0.2078783264
212	0.2077289886
213	0.2075396423
214	0.2073844299
215	0.2072636261
216	0.2071028748
217	0.2069273376
218	0.2067394562
219	0.2066507263
220	0.2065500488
221	0.2064815826
222	0.2063196411
223	0.2061417236
224	0.2060236206
225	0.205877655
226	0.2057910156
227	0.2056323853
228	0.2054439392
229	0.2052886353
230	0.2051983032
231	0.2050398712
232	0.2049116974
233	0.2048419189
234	0.2047515106
235	0.204639679
236	0.2045605469
237	0.2043374023
238	0.2042194214
239	0.2041011047
240	0.2040572815
241	0.2040117645
242	0.2037832947
243	0.2036683655
244	0.2035705109
245	0.2034714203
246	0.203368042
247	0.2031912079
248	0.2030271606
249	0.2029017639
250	0.2026925964
251	0.2025924988
252	0.2024667206
253	0.2023167725
254	0.2021975098
255	0.202053894
256	0.201991684
257	0.2019339447
258	0.2018048553
259	0.2016803741
260	0.201618576
261	0.2015552826
262	0.2014778137
263	0.2014247131
264	0.2013026123
265	0.2011790314
266	0.2011075592
267	0.2010089417
268	0.2009065094
269	0.2008337097
270	0.2006474915
271	0.2005000153
272	0.2003983765
273	0.2002690125
274	0.2001712036
275	0.2000462341
276	0.1999176178
277	0.1997774658
278	0.1996803894
279	0.1995492554
280	0.199449646
281	0.1993643494
282	0.1992313843
283	0.1991253052
284	0.1990384216
285	0.1989614258
286	0.1988665924
287	0.1987582092
288	0.19864328
289	0.198567215
290	0.198443985
291	0.1983467102
292	0.1981749725
293	0.1980648499
294	0.1978980865
295	0.1976576233
296	0.1975184174
297	0.1974369812
298	0.1972567291
299	0.197133194
300	0.1970061951
301	0.1969438934
302	0.1968435669
303	0.1967105103
304	0.1965328674
305	0.1964278259
306	0.1962819824
307	0.1960196991
308	0.1959249878
309	0.1958158264
310	0.1957118225
311	0.1956330261
312	0.1955393066
313	0.195490387
314	0.1953263855
315	0.1952475128
316	0.1951058807
317	0.195012207
318	0.1949288788
319	0.1948184509
320	0.1947199097
321	0.1946266022
322	0.1945125122
323	0.1944355469
324	0.1943225403
325	0.1942138214
326	0.1941222382
327	0.1939569092
328	0.1938140259
329	0.1936522827
330	0.1935870514
331	0.1934922791
332	0.1933754272
333	0.1932749481
334	0.1931424255
335	0.19308255
336	0.1930018921
337	0.1929239197
338	0.1928100586
339	0.1927094421
340	0.1926024933
341	0.192524231
342	0.192403183
343	0.1923583679
344	0.1922564087
345	0.1921090393
346	0.1920531006
347	0.1919868774
348	0.1918765717
349	0.1918039398
350	0.1917313538
351	0.1916571655
352	0.191591095
353	0.1915880432
354	0.19145961
355	0.1913339539
356	0.1911904755
357	0.1910912018
358	0.1909752655
359	0.1908207092
360	0.1907220306
361	0.1906062927
362	0.190530838
363	0.1903933563
364	0.1902731018
365	0.1901882324
366	0.1901156311
367	0.1900185394
368	0.1898862
369	0.1898306122
370	0.1897200165
371	0.1896357117
372	0.1895363464
373	0.1893565979
374	0.1893041992
375	0.1892153625
376	0.1891377563
377	0.1890007782
378	0.1889410706
379	0.1888167877
380	0.1887373657
381	0.1887032166
382	0.1885462036
383	0.1883976135
384	0.188279007
385	0.1881826935
386	0.1880709534
387	0.1880034332
388	0.1879173431
389	0.1878335571
390	0.1877513733
391	0.1876284943
392	0.1875623474
393	0.1873891907
394	0.1873029022
395	0.1872126465
396	0.1871024017
397	0.1869822693
398	0.1868969574
399	0.186809082
400	0.1867085876
401	0.1866022949
402	0.1865243225
403	0.1864253693
404	0.1863028564
405	0.1861974487
406	0.1861305237
407	0.1860283203
408	0.1859252625
409	0.1857912598
410	0.1856809998
411	0.1855539856
412	0.1854399719
413	0.185399231
414	0.1852537079
415	0.1850668488
416	0.1849979858
417	0.1848817291
418	0.1847718811
419	0.184714035
420	0.1846287537
421	0.1845171814
422	0.1843917389
423	0.1842989502
424	0.1842123108
425	0.1841184082
426	0.1840540771
427	0.1839811249
428	0.1839090576
429	0.1838267822
430	0.1837268982
431	0.1836664734
432	0.1835285187
433	0.1834341278
434	0.1832919312
435	0.1831904755
436	0.183076355
437	0.182982132
438	0.1829002991
439	0.1827930756
440	0.1827143555
441	0.1826100464
442	0.1825552063
443	0.1824356079
444	0.1823327026
445	0.1822215576
446	0.1820285797
447	0.1819360962
448	0.1818337097
449	0.1817254181
450	0.1815717316
451	0.181458313
452	0.1813860779
453	0.1812845154
454	0.1811515656
455	0.1810689697
456	0.1809389954
457	0.1808757324
458	0.1807940674
459	0.1806832275
460	0.1805827942
461	0.1804820251
462	0.1803899384
463	0.1802777252
464	0.1801327362
465	0.1800299683
466	0.1799222412
467	0.1797970581
468	0.1796861572
469	0.1795813141
470	0.1794291992
471	0.1793632813
472	0.1792342529
473	0.1790963745
474	0.1790007782
475	0.1789334412
476	0.1788264618
477	0.1787119293
478	0.1786083984
479	0.1785345459
480	0.1784221649
481	0.1783185577
482	0.1782210999
483	0.1781459045
484	0.1780429077
485	0.177977005
486	0.1778460236
487	0.1777502289
488	0.1776341248
489	0.17752948
490	0.177412262
491	0.1772295532
492	0.1770770874
493	0.176997345
494	0.1769074707
495	0.1767457886
496	0.1766472626
497	0.1765761719
498	0.176427887
499	0.1763166504
500	0.1762015076
501	0.1759940796
502	0.1759152527
503	0.1757879944
504	0.1756523895
505	0.1755333557
506	0.175430542
507	0.1753471985
508	0.1752514648
509	0.1750892487
510	0.1749722748
511	0.1748714294
512	0.1747746735
513	0.1746436768
514	0.1745672607
515	0.1744460754
516	0.1743507233
517	0.1742518616
518	0.1741327515
519	0.1740354004
520	0.1739296265
521	0.1738275909
522	0.1737213135
523	0.1736050262
524	0.1735185089
525	0.173398819
526	0.1732846375
527	0.1731893311
528	0.1730768738
529	0.1729580688
530	0.1728710632
531	0.1727877502
532	0.1726264954
533	0.1725275269
534	0.172412735
535	0.1723042908
536	0.1721936951
537	0.1720677338
538	0.1719454498
539	0.1718235931
540	0.171728775
541	0.1716459961
542	0.1714648438
543	0.1713741455
544	0.1712052612
545	0.1711142731
546	0.1710328827
547	0.1708913879
548	0.1708316803
549	0.1707221832
550	0.1706248169
551	0.1705323639
552	0.1703881836
553	0.1702349854
554	0.1701226654
555	0.1699443665
556	0.1698388062
557	0.1697406311
558	0.1696565247
559	0.1695724487
560	0.1694962463
561	0.1693916016
562	0.1692500305
563	0.1691398926
564	0.1690012207
565	0.1689032135
566	0.1687810211
567	0.1686856232
568	0.1686070862
569	0.1685131989
570	0.1684335937
571	0.1682999573
572	0.1681999207
573	0.1680669861
574	0.1679627228
575	0.1678380432
576	0.1677614136
577	0.1676608582
578	0.1675614014
579	0.1674461365
580	0.1673410034
581	0.1672729187
582	0.1671968842
583	0.1670932312
584	0.1670036621
585	0.1669233093
586	0.1668323975
587	0.1667511597
588	0.166638855
589	0.1665228577
590	0.1664429474
591	0.1663417969
592	0.1662259216
593	0.1661439209
594	0.1660672455
595	0.1659875183
596	0.1658897095
597	0.1658003845
598	0.1656434479
599	0.1655111237
600	0.1654342041
601	0.1653435669
602	0.1652433777
603	0.1651286926
604	0.1650170593
605	0.1649116974
606	0.164784668
607	0.1646824188
608	0.1646058502
609	0.1645090027
610	0.1644338989
611	0.1643418732
612	0.1642776184
613	0.1642130737
614	0.1641347656
615	0.164033432
616	0.1639603882
617	0.1638670349
618	0.1637476501
619	0.1636615601
620	0.1635800476
621	0.1634622192
622	0.1633927307
