iter	Passed	Remaining
0	3	3422
1	6	3282
2	12	4239
3	16	4008
4	19	3822
5	22	3659
6	25	3681
7	30	3789
8	34	3746
9	36	3626
10	41	3733
11	46	3846
12	50	3847
13	53	3774
14	56	3733
15	62	3838
16	66	3839
17	69	3804
18	74	3848
19	79	3882
20	82	3857
21	86	3831
22	91	3881
23	95	3869
24	98	3845
25	101	3796
26	106	3833
27	111	3870
28	114	3843
29	118	3838
30	123	3874
31	127	3855
32	130	3822
33	133	3782
34	136	3751
35	142	3824
36	146	3804
37	149	3783
38	152	3767
39	157	3781
40	161	3768
41	164	3748
42	167	3722
43	171	3733
44	176	3736
45	179	3725
46	182	3709
47	188	3737
48	193	3754
49	198	3772
50	202	3771
51	207	3779
52	210	3762
53	213	3740
54	216	3726
55	221	3739
56	225	3723
57	227	3700
58	230	3677
59	235	3694
60	240	3700
61	243	3682
62	246	3665
63	251	3672
64	254	3666
65	258	3651
66	260	3630
67	263	3611
68	269	3632
69	272	3621
70	275	3604
71	278	3587
72	283	3597
73	287	3594
74	290	3580
75	293	3566
76	296	3552
77	300	3556
78	304	3546
79	307	3536
80	310	3523
81	314	3523
82	318	3519
83	321	3510
84	326	3512
85	331	3523
86	335	3519
87	338	3506
88	341	3491
89	344	3478
90	349	3491
91	353	3489
92	356	3481
93	360	3476
94	365	3479
95	368	3469
96	371	3455
97	373	3441
98	378	3444
99	382	3445
100	385	3433
101	388	3421
102	391	3410
103	397	3424
104	400	3418
105	404	3411
106	407	3404
107	413	3412
108	416	3404
109	419	3396
110	423	3388
111	428	3395
112	432	3392
113	435	3385
114	439	3378
115	444	3390
116	448	3383
117	451	3375
118	454	3363
119	460	3379
120	464	3370
121	466	3358
122	469	3345
123	473	3341
124	477	3344
125	481	3342
126	484	3333
127	489	3333
128	494	3340
129	497	3331
130	501	3328
131	505	3324
132	510	3327
133	514	3325
134	517	3315
135	522	3318
136	527	3321
137	530	3314
138	534	3311
139	539	3316
140	544	3315
141	548	3313
142	551	3305
143	557	3311
144	561	3312
145	564	3304
146	568	3301
147	574	3307
148	577	3299
149	580	3291
150	583	3283
151	589	3289
152	593	3287
153	597	3280
154	600	3276
155	605	3277
156	610	3276
157	613	3269
158	616	3262
159	621	3263
160	626	3264
161	629	3258
162	632	3250
163	638	3254
164	641	3247
165	644	3238
166	647	3228
167	651	3224
168	654	3219
169	658	3215
170	661	3205
171	664	3198
172	668	3197
173	673	3195
174	674	3180
175	677	3172
176	680	3164
177	685	3164
178	688	3159
179	691	3150
180	694	3141
181	697	3135
182	701	3133
183	705	3129
184	708	3120
185	712	3118
186	717	3117
187	721	3115
188	724	3108
189	727	3100
190	731	3099
191	735	3095
192	738	3089
193	741	3080
194	744	3072
195	748	3070
196	753	3069
197	756	3062
198	758	3054
199	763	3052
200	767	3049
201	771	3046
202	773	3038
203	777	3032
204	781	3031
205	786	3030
206	789	3022
207	792	3016
208	796	3016
209	801	3013
210	804	3006
211	806	2998
212	812	3000
213	816	2999
214	819	2992
215	822	2985
216	826	2982
217	830	2979
218	834	2975
219	837	2967
220	839	2960
221	843	2957
222	848	2955
223	852	2952
224	855	2946
225	860	2946
226	864	2943
227	867	2938
228	870	2931
229	874	2926
230	878	2925
231	882	2920
232	884	2912
233	887	2905
234	892	2904
235	896	2903
236	899	2896
237	902	2889
238	905	2882
239	909	2880
240	913	2878
241	917	2872
242	920	2866
243	926	2869
244	930	2866
245	933	2860
246	935	2853
247	940	2852
248	944	2849
249	947	2843
250	950	2836
251	954	2833
252	958	2829
253	962	2827
254	966	2822
255	970	2821
256	974	2818
257	978	2815
258	981	2808
259	985	2804
260	989	2802
261	994	2801
262	997	2795
263	1001	2790
264	1005	2788
265	1010	2789
266	1014	2784
267	1020	2786
268	1025	2785
269	1029	2782
270	1035	2785
271	1040	2785
272	1044	2782
273	1049	2779
274	1053	2777
275	1058	2775
276	1062	2772
277	1066	2769
278	1071	2768
279	1075	2766
280	1078	2760
281	1083	2758
282	1088	2758
283	1093	2756
284	1097	2753
285	1102	2753
286	1106	2748
287	1110	2744
288	1113	2740
289	1118	2739
290	1123	2737
291	1127	2732
292	1130	2727
293	1135	2726
294	1139	2723
295	1142	2717
296	1146	2713
297	1150	2710
298	1154	2706
299	1157	2700
300	1159	2693
301	1164	2691
302	1169	2689
303	1173	2686
304	1177	2682
305	1182	2681
306	1186	2678
307	1190	2673
308	1193	2669
309	1198	2667
310	1202	2664
311	1206	2661
312	1213	2662
313	1217	2659
314	1221	2655
315	1223	2648
316	1228	2647
317	1232	2642
318	1236	2640
319	1239	2634
320	1245	2634
321	1249	2631
322	1253	2626
323	1256	2620
324	1261	2620
325	1266	2619
326	1269	2613
327	1273	2608
328	1278	2606
329	1283	2605
330	1286	2600
331	1290	2596
332	1295	2595
333	1300	2593
334	1303	2588
335	1309	2588
336	1314	2585
337	1317	2580
338	1321	2576
339	1325	2573
340	1330	2570
341	1333	2566
342	1336	2560
343	1341	2558
344	1346	2555
345	1349	2550
346	1353	2547
347	1359	2546
348	1363	2542
349	1366	2537
350	1368	2530
351	1372	2527
352	1377	2524
353	1379	2517
354	1382	2511
355	1385	2506
356	1390	2503
357	1394	2500
358	1397	2495
359	1400	2489
360	1405	2486
361	1409	2483
362	1413	2479
363	1416	2474
364	1421	2472
365	1425	2469
366	1429	2464
367	1432	2459
368	1437	2458
369	1442	2456
370	1446	2452
371	1449	2447
372	1454	2445
373	1458	2442
374	1462	2437
375	1465	2431
376	1470	2429
377	1474	2427
378	1478	2423
379	1483	2421
380	1489	2419
381	1492	2414
382	1495	2409
383	1500	2407
384	1504	2403
385	1508	2399
386	1511	2393
387	1514	2388
388	1518	2385
389	1523	2382
390	1526	2377
391	1529	2371
392	1533	2369
393	1538	2366
394	1541	2361
395	1544	2355
396	1548	2352
397	1552	2348
398	1558	2347
399	1562	2343
400	1567	2340
401	1571	2338
402	1577	2336
403	1583	2335
404	1588	2333
405	1591	2328
406	1595	2325
407	1600	2322
408	1605	2319
409	1609	2316
410	1615	2314
411	1619	2311
412	1624	2308
413	1628	2304
414	1633	2302
415	1638	2300
416	1642	2296
417	1648	2294
418	1652	2291
419	1656	2287
420	1661	2285
421	1666	2282
422	1672	2280
423	1677	2278
424	1683	2277
425	1688	2274
426	1694	2274
427	1700	2272
428	1705	2270
429	1710	2266
430	1714	2264
431	1718	2259
432	1721	2254
433	1727	2253
434	1732	2250
435	1736	2246
436	1741	2243
437	1745	2239
438	1748	2234
439	1752	2230
440	1757	2228
441	1762	2224
442	1766	2220
443	1770	2217
444	1776	2215
445	1780	2211
446	1784	2207
447	1790	2205
448	1793	2201
449	1797	2197
450	1802	2193
451	1806	2190
452	1811	2186
453	1814	2182
454	1819	2178
455	1824	2176
456	1827	2171
457	1831	2167
458	1837	2165
459	1841	2161
460	1845	2157
461	1849	2153
462	1853	2149
463	1857	2145
464	1860	2140
465	1863	2135
466	1867	2131
467	1871	2127
468	1876	2124
469	1880	2120
470	1884	2117
471	1889	2113
472	1893	2109
473	1896	2104
474	1900	2101
475	1904	2096
476	1907	2091
477	1911	2086
478	1915	2083
479	1919	2079
480	1923	2075
481	1927	2071
482	1932	2068
483	1935	2063
484	1939	2059
485	1943	2055
486	1948	2052
487	1952	2048
488	1956	2044
489	1961	2041
490	1967	2039
491	1973	2037
492	1979	2035
493	1985	2033
494	1990	2030
495	1996	2029
496	2002	2026
497	2007	2023
498	2014	2022
499	2020	2020
500	2027	2019
501	2032	2016
502	2037	2013
503	2041	2008
504	2047	2006
505	2052	2003
506	2058	2001
507	2063	1998
508	2068	1995
509	2072	1991
510	2077	1988
511	2082	1985
512	2087	1981
513	2093	1979
514	2097	1975
515	2102	1971
516	2105	1967
517	2111	1964
518	2116	1961
519	2120	1957
520	2125	1954
521	2131	1951
522	2135	1947
523	2140	1944
524	2144	1940
525	2150	1938
526	2156	1935
527	2160	1931
528	2164	1926
529	2169	1923
530	2174	1920
531	2180	1918
532	2184	1914
533	2191	1912
534	2198	1910
535	2203	1907
536	2208	1904
537	2213	1900
538	2216	1896
539	2222	1893
540	2227	1889
541	2231	1885
542	2236	1882
543	2242	1879
544	2245	1875
545	2249	1870
546	2255	1867
547	2259	1863
548	2263	1859
549	2269	1856
550	2275	1854
551	2279	1850
552	2287	1848
553	2291	1845
554	2295	1840
555	2301	1837
556	2306	1834
557	2311	1830
558	2315	1826
559	2320	1823
560	2324	1818
561	2328	1814
562	2332	1810
563	2337	1806
564	2340	1801
565	2346	1799
566	2351	1795
567	2354	1790
568	2358	1786
569	2363	1782
570	2368	1779
571	2372	1774
572	2376	1770
573	2381	1767
574	2387	1764
575	2392	1760
576	2396	1757
577	2400	1752
578	2404	1748
579	2410	1745
580	2415	1742
581	2419	1737
582	2423	1733
583	2429	1730
584	2433	1726
585	2437	1722
586	2443	1719
587	2447	1715
588	2451	1710
589	2455	1706
590	2460	1703
591	2463	1697
592	2466	1692
593	2469	1687
594	2472	1682
595	2476	1678
596	2481	1674
597	2484	1669
598	2487	1665
599	2492	1661
600	2495	1656
601	2498	1651
602	2501	1647
603	2504	1642
604	2509	1638
605	2513	1634
606	2516	1629
607	2519	1624
608	2523	1620
609	2527	1616
610	2530	1611
611	2534	1606
612	2537	1601
613	2542	1598
614	2545	1593
615	2549	1589
616	2553	1584
617	2557	1580
618	2560	1575
619	2563	1571
620	2567	1567
621	2571	1562
622	2575	1558
623	2580	1554
624	2583	1550
625	2589	1546
626	2594	1543
627	2600	1540
628	2606	1537
629	2611	1533
630	2615	1529
631	2620	1525
632	2624	1521
633	2627	1517
634	2632	1513
635	2636	1509
636	2639	1504
637	2643	1499
638	2646	1495
639	2650	1490
640	2653	1486
641	2657	1481
642	2660	1477
643	2664	1472
644	2669	1469
645	2672	1464
646	2677	1460
647	2680	1455
648	2685	1452
649	2689	1448
650	2692	1443
651	2696	1439
652	2700	1434
653	2704	1430
654	2707	1426
655	2711	1421
656	2714	1417
657	2718	1412
658	2721	1408
659	2725	1403
660	2728	1399
661	2734	1396
662	2739	1392
663	2743	1388
664	2748	1384
665	2751	1379
666	2754	1375
667	2757	1370
668	2761	1366
669	2766	1362
670	2770	1358
671	2774	1354
672	2778	1350
673	2782	1345
674	2785	1341
675	2789	1336
676	2792	1332
677	2796	1328
678	2800	1324
679	2803	1319
680	2807	1315
681	2811	1311
682	2815	1306
683	2819	1302
684	2822	1298
685	2827	1294
686	2831	1289
687	2835	1285
688	2838	1281
689	2844	1277
690	2848	1273
691	2853	1269
692	2856	1265
693	2860	1261
694	2863	1256
695	2867	1252
696	2871	1248
697	2875	1244
698	2880	1240
699	2884	1236
700	2887	1231
701	2891	1227
702	2894	1222
703	2898	1218
704	2901	1214
705	2906	1210
706	2911	1206
707	2915	1202
708	2920	1198
709	2925	1194
710	2928	1190
711	2933	1186
712	2938	1182
713	2942	1178
714	2947	1174
715	2952	1170
716	2957	1167
717	2961	1163
718	2965	1159
719	2971	1155
720	2977	1152
721	2981	1148
722	2988	1144
723	2993	1141
724	2998	1137
725	3004	1133
726	3009	1130
727	3013	1126
728	3020	1122
729	3026	1119
730	3031	1115
731	3038	1112
732	3043	1108
733	3049	1105
734	3056	1101
735	3060	1097
736	3067	1094
737	3072	1090
738	3078	1087
739	3084	1083
740	3090	1080
741	3096	1076
742	3103	1073
743	3109	1069
744	3118	1067
745	3123	1063
746	3129	1059
747	3134	1056
748	3139	1052
749	3145	1048
750	3149	1044
751	3153	1040
752	3157	1035
753	3163	1032
754	3167	1027
755	3171	1023
756	3175	1019
757	3180	1015
758	3185	1011
759	3189	1007
760	3194	1003
761	3198	999
762	3202	994
763	3206	990
764	3210	986
765	3213	981
766	3216	977
767	3219	972
768	3222	968
769	3226	963
770	3229	959
771	3233	954
772	3236	950
773	3241	946
774	3245	942
775	3249	938
776	3253	933
777	3257	929
778	3261	925
779	3264	920
780	3267	916
781	3270	911
782	3274	907
783	3277	902
784	3279	898
785	3282	893
786	3286	889
787	3290	885
788	3293	880
789	3295	876
790	3298	871
791	3301	867
792	3304	862
793	3309	858
794	3313	854
795	3316	850
796	3321	845
797	3325	841
798	3330	837
799	3333	833
800	3339	829
801	3344	825
802	3349	821
803	3354	817
804	3358	813
805	3362	809
806	3367	805
807	3372	801
808	3375	796
809	3380	792
810	3384	788
811	3388	784
812	3393	780
813	3397	776
814	3400	771
815	3405	767
816	3409	763
817	3412	759
818	3416	754
819	3420	750
820	3424	746
821	3428	742
822	3433	738
823	3437	734
824	3442	730
825	3445	725
826	3450	721
827	3454	717
828	3458	713
829	3465	709
830	3471	706
831	3476	702
832	3481	698
833	3485	693
834	3491	689
835	3496	685
836	3500	681
837	3505	677
838	3508	673
839	3512	668
840	3516	664
841	3521	660
842	3524	656
843	3528	652
844	3532	647
845	3537	643
846	3540	639
847	3544	635
848	3548	631
849	3552	626
850	3555	622
851	3558	618
852	3564	614
853	3568	610
854	3572	605
855	3575	601
856	3580	597
857	3585	593
858	3588	589
859	3593	584
860	3597	580
861	3601	576
862	3605	572
863	3610	568
864	3615	564
865	3619	560
866	3622	555
867	3628	551
868	3633	547
869	3637	543
870	3641	539
871	3645	535
872	3650	530
873	3653	526
874	3658	522
875	3663	518
876	3667	514
877	3670	510
878	3675	505
879	3680	501
880	3684	497
881	3688	493
882	3694	489
883	3698	485
884	3702	481
885	3707	477
886	3712	472
887	3716	468
888	3719	464
889	3724	460
890	3728	456
891	3732	451
892	3735	447
893	3740	443
894	3745	439
895	3748	435
896	3751	430
897	3756	426
898	3761	422
899	3763	418
900	3766	413
901	3771	409
902	3775	405
903	3778	401
904	3781	396
905	3786	392
906	3790	388
907	3794	384
908	3797	380
909	3801	376
910	3806	371
911	3810	367
912	3813	363
913	3817	359
914	3820	354
915	3825	350
916	3828	346
917	3831	342
918	3835	338
919	3840	333
920	3843	329
921	3847	325
922	3851	321
923	3856	317
924	3859	312
925	3862	308
926	3865	304
927	3869	300
928	3873	296
929	3876	291
930	3879	287
931	3883	283
932	3889	279
933	3892	275
934	3895	270
935	3900	266
936	3905	262
937	3908	258
938	3911	254
939	3916	249
940	3921	245
941	3924	241
942	3927	237
943	3931	233
944	3935	229
945	3939	224
946	3943	220
947	3948	216
948	3952	212
949	3955	208
950	3958	203
951	3962	199
952	3966	195
953	3970	191
954	3973	187
955	3978	183
956	3983	178
957	3986	174
958	3989	170
959	3993	166
960	3997	162
961	4001	158
962	4004	153
963	4007	149
964	4012	145
965	4016	141
966	4020	137
967	4023	133
968	4028	128
969	4032	124
970	4036	120
971	4039	116
972	4044	112
973	4049	108
974	4052	103
975	4056	99
976	4061	95
977	4065	91
978	4069	87
979	4074	83
980	4079	79
981	4083	74
982	4087	70
983	4092	66
984	4097	62
985	4101	58
986	4105	54
987	4109	49
988	4117	45
989	4125	41
990	4131	37
991	4135	33
992	4141	29
993	4146	25
994	4150	20
995	4155	16
996	4160	12
997	4164	8
998	4168	4
999	4173	0
