Winning_percentage,Days_Since_Last_Bet,Active_Days,Total_Number_of_Bets,Total_Amount_Wagered,Average_Bet_Amount,Number_of_Bonuses_Received,Amount_of_Bonuses_Received,Revenue_from_Bonuses,Increase_in_Bets_After_Bonus,Increase_in_wagering_after_Bonus,Should_Receive_Bonus
69,34.0,220.0,42.0,93091.0,996.0,100.0,1000.0,5000.0,500.0,50000.0,1
40,6.0,133.0,24.0,82195.0,980.0,100.0,1000.0,5000.0,500.0,50000.0,1
36,4.0,104.0,12.0,50648.0,780.0,95.0,988.0,4973.0,500.0,49977.0,1
10,16.0,162.0,42.0,96397.0,993.0,100.0,1000.0,5000.0,500.0,50000.0,0
55,11.0,104.0,24.0,86330.0,985.0,100.0,1000.0,5000.0,500.0,50000.0,1
71,26.0,343.0,38.0,99439.0,991.0,100.0,1000.0,5000.0,500.0,50000.0,1
69,25.0,177.0,46.0,92721.0,991.0,100.0,1000.0,5000.0,500.0,50000.0,1
26,28.0,148.0,40.0,98161.0,992.0,100.0,1000.0,5000.0,500.0,50000.0,0
29,5.0,249.0,34.0,91665.0,1000.0,100.0,1000.0,5000.0,500.0,50000.0,0
64,10.0,235.0,42.0,93210.0,996.0,100.0,1000.0,5000.0,500.0,50000.0,1
68,22.0,162.0,44.0,95367.0,992.0,100.0,1000.0,5000.0,500.0,50000.0,1
7,15.0,199.0,46.0,91563.0,992.0,100.0,1000.0,5000.0,500.0,50000.0,0
15,34.0,155.0,35.0,96375.0,996.0,100.0,1000.0,5000.0,500.0,50000.0,0
33,39.0,112.0,17.0,68013.0,916.0,99.0,999.0,4997.0,500.0,49999.0,1
49,17.0,162.0,42.0,96127.0,993.0,100.0,1000.0,5000.0,500.0,50000.0,1
66,38.0,141.0,26.0,86857.0,991.0,100.0,1000.0,5000.0,500.0,50000.0,1
19,10.0,228.0,42.0,93320.0,996.0,100.0,1000.0,5000.0,500.0,50000.0,0
68,16.0,336.0,38.0,98733.0,992.0,100.0,1000.0,5000.0,500.0,50000.0,1
6,7.0,112.0,20.0,75552.0,954.0,99.0,1000.0,4999.0,500.0,50000.0,1
18,12.0,249.0,44.0,91823.0,994.0,100.0,1000.0,5000.0,500.0,50000.0,0
57,8.0,358.0,24.0,84197.0,983.0,100.0,1000.0,5000.0,500.0,50000.0,1
31,32.0,184.0,42.0,94754.0,995.0,100.0,1000.0,5000.0,500.0,50000.0,0
28,36.0,358.0,25.0,86172.0,987.0,100.0,1000.0,5000.0,500.0,50000.0,1
63,33.0,343.0,32.0,96146.0,995.0,100.0,1000.0,5000.0,500.0,50000.0,1
9,34.0,184.0,40.0,95308.0,996.0,100.0,1000.0,5000.0,500.0,50000.0,0
37,5.0,271.0,33.0,91288.0,1000.0,100.0,1000.0,5000.0,500.0,50000.0,0
50,11.0,228.0,43.0,92668.0,995.0,100.0,1000.0,5000.0,500.0,50000.0,1
40,2.0,191.0,25.0,80358.0,979.0,100.0,1000.0,5000.0,500.0,50000.0,1
28,18.0,213.0,48.0,87701.0,985.0,100.0,1000.0,5000.0,500.0,50000.0,1
18,29.0,191.0,45.0,92066.0,992.0,100.0,1000.0,5000.0,500.0,50000.0,1
33,31.0,242.0,46.0,90098.0,991.0,100.0,1000.0,5000.0,500.0,50000.0,1
12,32.0,155.0,38.0,97312.0,995.0,100.0,1000.0,5000.0,500.0,50000.0,0
57,14.0,155.0,39.0,97545.0,994.0,100.0,1000.0,5000.0,500.0,50000.0,1
26,33.0,293.0,41.0,95024.0,996.0,100.0,1000.0,5000.0,500.0,50000.0,1
14,4.0,141.0,21.0,75829.0,959.0,99.0,1000.0,5000.0,500.0,50000.0,1
13,18.0,104.0,30.0,96986.0,992.0,100.0,1000.0,5000.0,500.0,50000.0,0
70,12.0,126.0,31.0,95525.0,995.0,100.0,1000.0,5000.0,500.0,50000.0,1
14,14.0,133.0,34.0,98206.0,993.0,100.0,1000.0,5000.0,500.0,50000.0,0
77,37.0,285.0,36.0,94186.0,999.0,100.0,1000.0,5000.0,500.0,50000.0,1
26,5.0,278.0,32.0,91014.0,999.0,100.0,1000.0,5000.0,500.0,50000.0,0
44,24.0,90.0,26.0,93129.0,990.0,100.0,1000.0,5000.0,500.0,50000.0,1
77,24.0,358.0,35.0,99910.0,990.0,100.0,1000.0,5000.0,500.0,50000.0,1
67,4.0,264.0,31.0,89418.0,998.0,100.0,1000.0,5000.0,500.0,50000.0,0
10,38.0,322.0,29.0,90367.0,997.0,100.0,1000.0,5000.0,500.0,50000.0,0
22,37.0,199.0,37.0,94131.0,999.0,100.0,1000.0,5000.0,500.0,50000.0,0
30,22.0,365.0,33.0,99410.0,990.0,100.0,1000.0,5000.0,500.0,50000.0,1
25,38.0,256.0,36.0,93316.0,1000.0,100.0,1000.0,5000.0,500.0,50000.0,0
5,37.0,249.0,38.0,93709.0,999.0,100.0,1000.0,5000.0,500.0,50000.0,0
10,13.0,329.0,37.0,97746.0,994.0,100.0,1000.0,5000.0,500.0,50000.0,0
27,36.0,343.0,28.0,90883.0,995.0,100.0,1000.0,5000.0,500.0,50000.0,1
11,7.0,213.0,37.0,93730.0,999.0,100.0,1000.0,5000.0,500.0,50000.0,0
21,33.0,329.0,35.0,96998.0,995.0,100.0,1000.0,5000.0,500.0,50000.0,1
21,35.0,264.0,41.0,93831.0,997.0,100.0,1000.0,5000.0,500.0,50000.0,0
19,26.0,314.0,43.0,95505.0,992.0,100.0,1000.0,5000.0,500.0,50000.0,1
79,19.0,336.0,39.0,98821.0,991.0,100.0,1000.0,5000.0,500.0,50000.0,1
11,8.0,97.0,17.0,70010.0,925.0,99.0,999.0,4998.0,500.0,50000.0,1
26,30.0,300.0,43.0,94591.0,994.0,100.0,1000.0,5000.0,500.0,50000.0,1
73,4.0,242.0,32.0,89831.0,999.0,100.0,1000.0,5000.0,500.0,50000.0,0
23,5.0,97.0,12.0,51096.0,783.0,95.0,989.0,4973.0,500.0,49978.0,1
16,3.0,365.0,12.0,50362.0,778.0,95.0,988.0,4972.0,500.0,49977.0,1
